Date,Year,Month,Day,Start of Quarter,Start of Month,End of Month,Day Name,Day of Week
2014-04-01,2014,4,1,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Tue,2
2014-04-02,2014,4,2,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Wed,3
2014-04-03,2014,4,3,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Thu,4
2014-04-04,2014,4,4,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Fri,5
2014-04-05,2014,4,5,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Sat,6
2014-04-06,2014,4,6,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Sun,7
2014-04-07,2014,4,7,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Mon,1
2014-04-08,2014,4,8,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Tue,2
2014-04-10,2014,4,10,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Thu,4
2014-04-11,2014,4,11,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Fri,5
2014-04-12,2014,4,12,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Sat,6
2014-04-13,2014,4,13,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Sun,7
2014-04-15,2014,4,15,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Tue,2
2014-04-16,2014,4,16,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Wed,3
2014-04-18,2014,4,18,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Fri,5
2014-04-19,2014,4,19,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Sat,6
2014-04-20,2014,4,20,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Sun,7
2014-04-21,2014,4,21,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Mon,1
2014-04-22,2014,4,22,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Tue,2
2014-04-23,2014,4,23,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Wed,3
2014-04-25,2014,4,25,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Fri,5
2014-04-26,2014,4,26,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Sat,6
2014-04-28,2014,4,28,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Mon,1
2014-04-29,2014,4,29,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Tue,2
2014-04-30,2014,4,30,4/1/2014 0:00,4/1/2014 0:00,4/30/2014 0:00,Wed,3
2014-05-01,2014,5,1,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Thu,4
2014-05-03,2014,5,3,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sat,6
2014-05-04,2014,5,4,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sun,7
2014-05-05,2014,5,5,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Mon,1
2014-05-07,2014,5,7,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Wed,3
2014-05-08,2014,5,8,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Thu,4
2014-05-09,2014,5,9,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Fri,5
2014-05-10,2014,5,10,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sat,6
2014-05-11,2014,5,11,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sun,7
2014-05-12,2014,5,12,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Mon,1
2014-05-13,2014,5,13,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Tue,2
2014-05-14,2014,5,14,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Wed,3
2014-05-16,2014,5,16,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Fri,5
2014-05-17,2014,5,17,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sat,6
2014-05-18,2014,5,18,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sun,7
2014-05-19,2014,5,19,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Mon,1
2014-05-20,2014,5,20,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Tue,2
2014-05-21,2014,5,21,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Wed,3
2014-05-22,2014,5,22,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Thu,4
2014-05-23,2014,5,23,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Fri,5
2014-05-24,2014,5,24,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sat,6
2014-05-25,2014,5,25,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sun,7
2014-05-26,2014,5,26,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Mon,1
2014-05-27,2014,5,27,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Tue,2
2014-05-28,2014,5,28,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Wed,3
2014-05-30,2014,5,30,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Fri,5
2014-05-31,2014,5,31,4/1/2014 0:00,5/1/2014 0:00,5/31/2014 0:00,Sat,6
2014-06-01,2014,6,1,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sun,7
2014-06-02,2014,6,2,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Mon,1
2014-06-04,2014,6,4,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Wed,3
2014-06-05,2014,6,5,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Thu,4
2014-06-06,2014,6,6,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Fri,5
2014-06-07,2014,6,7,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sat,6
2014-06-08,2014,6,8,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sun,7
2014-06-09,2014,6,9,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Mon,1
2014-06-10,2014,6,10,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Tue,2
2014-06-11,2014,6,11,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Wed,3
2014-06-12,2014,6,12,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Thu,4
2014-06-13,2014,6,13,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Fri,5
2014-06-14,2014,6,14,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sat,6
2014-06-15,2014,6,15,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sun,7
2014-06-16,2014,6,16,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Mon,1
2014-06-17,2014,6,17,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Tue,2
2014-06-18,2014,6,18,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Wed,3
2014-06-20,2014,6,20,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Fri,5
2014-06-21,2014,6,21,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sat,6
2014-06-22,2014,6,22,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sun,7
2014-06-23,2014,6,23,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Mon,1
2014-06-24,2014,6,24,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Tue,2
2014-06-25,2014,6,25,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Wed,3
2014-06-27,2014,6,27,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Fri,5
2014-06-28,2014,6,28,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sat,6
2014-06-29,2014,6,29,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Sun,7
2014-06-30,2014,6,30,4/1/2014 0:00,6/1/2014 0:00,6/30/2014 0:00,Mon,1
2014-07-01,2014,7,1,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Tue,2
2014-07-02,2014,7,2,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Wed,3
2014-07-03,2014,7,3,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Thu,4
2014-07-04,2014,7,4,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Fri,5
2014-07-05,2014,7,5,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Sat,6
2014-07-06,2014,7,6,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Sun,7
2014-07-07,2014,7,7,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Mon,1
2014-07-09,2014,7,9,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Wed,3
2014-07-10,2014,7,10,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Thu,4
2014-07-11,2014,7,11,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Fri,5
2014-07-12,2014,7,12,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Sat,6
2014-07-13,2014,7,13,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Sun,7
2014-07-14,2014,7,14,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Mon,1
2014-07-15,2014,7,15,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Tue,2
2014-07-18,2014,7,18,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Fri,5
2014-07-19,2014,7,19,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Sat,6
2014-07-20,2014,7,20,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Sun,7
2014-07-21,2014,7,21,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Mon,1
2014-07-22,2014,7,22,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Tue,2
2014-07-23,2014,7,23,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Wed,3
2014-07-25,2014,7,25,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Fri,5
2014-07-26,2014,7,26,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Sat,6
2014-07-27,2014,7,27,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Sun,7
2014-07-28,2014,7,28,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Mon,1
2014-07-30,2014,7,30,7/1/2014 0:00,7/1/2014 0:00,7/31/2014 0:00,Wed,3
2014-08-02,2014,8,2,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sat,6
2014-08-04,2014,8,4,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Mon,1
2014-08-05,2014,8,5,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Tue,2
2014-08-06,2014,8,6,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Wed,3
2014-08-07,2014,8,7,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Thu,4
2014-08-08,2014,8,8,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Fri,5
2014-08-09,2014,8,9,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sat,6
2014-08-10,2014,8,10,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sun,7
2014-08-11,2014,8,11,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Mon,1
2014-08-12,2014,8,12,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Tue,2
2014-08-15,2014,8,15,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Fri,5
2014-08-16,2014,8,16,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sat,6
2014-08-17,2014,8,17,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sun,7
2014-08-19,2014,8,19,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Tue,2
2014-08-20,2014,8,20,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Wed,3
2014-08-22,2014,8,22,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Fri,5
2014-08-23,2014,8,23,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sat,6
2014-08-24,2014,8,24,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sun,7
2014-08-25,2014,8,25,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Mon,1
2014-08-26,2014,8,26,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Tue,2
2014-08-27,2014,8,27,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Wed,3
2014-08-29,2014,8,29,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Fri,5
2014-08-30,2014,8,30,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sat,6
2014-08-31,2014,8,31,7/1/2014 0:00,8/1/2014 0:00,8/31/2014 0:00,Sun,7
2014-09-01,2014,9,1,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Mon,1
2014-09-05,2014,9,5,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Fri,5
2014-09-06,2014,9,6,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Sat,6
2014-09-07,2014,9,7,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Sun,7
2014-09-08,2014,9,8,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Mon,1
2014-09-09,2014,9,9,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Tue,2
2014-09-10,2014,9,10,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Wed,3
2014-09-11,2014,9,11,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Thu,4
2014-09-12,2014,9,12,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Fri,5
2014-09-13,2014,9,13,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Sat,6
2014-09-14,2014,9,14,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Sun,7
2014-09-15,2014,9,15,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Mon,1
2014-09-16,2014,9,16,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Tue,2
2014-09-17,2014,9,17,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Wed,3
2014-09-19,2014,9,19,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Fri,5
2014-09-20,2014,9,20,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Sat,6
2014-09-21,2014,9,21,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Sun,7
2014-09-22,2014,9,22,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Mon,1
2014-09-23,2014,9,23,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Tue,2
2014-09-24,2014,9,24,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Wed,3
2014-09-25,2014,9,25,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Thu,4
2014-09-26,2014,9,26,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Fri,5
2014-09-27,2014,9,27,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Sat,6
2014-09-28,2014,9,28,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Sun,7
2014-09-29,2014,9,29,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Mon,1
2014-09-30,2014,9,30,7/1/2014 0:00,9/1/2014 0:00,9/30/2014 0:00,Tue,2
2014-10-01,2014,10,1,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Wed,3
2014-10-03,2014,10,3,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Fri,5
2014-10-05,2014,10,5,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Sun,7
2014-10-06,2014,10,6,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Mon,1
2014-10-09,2014,10,9,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Thu,4
2014-10-10,2014,10,10,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Fri,5
2014-10-11,2014,10,11,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Sat,6
2014-10-12,2014,10,12,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Sun,7
2014-10-13,2014,10,13,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Mon,1
2014-10-14,2014,10,14,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Tue,2
2014-10-15,2014,10,15,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Wed,3
2014-10-16,2014,10,16,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Thu,4
2014-10-17,2014,10,17,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Fri,5
2014-10-18,2014,10,18,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Sat,6
2014-10-19,2014,10,19,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Sun,7
2014-10-20,2014,10,20,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Mon,1
2014-10-21,2014,10,21,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Tue,2
2014-10-22,2014,10,22,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Wed,3
2014-10-24,2014,10,24,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Fri,5
2014-10-25,2014,10,25,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Sat,6
2014-10-26,2014,10,26,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Sun,7
2014-10-27,2014,10,27,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Mon,1
2014-10-28,2014,10,28,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Tue,2
2014-10-29,2014,10,29,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Wed,3
2014-10-31,2014,10,31,10/1/2014 0:00,10/1/2014 0:00,10/31/2014 0:00,Fri,5
2014-11-01,2014,11,1,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sat,6
2014-11-02,2014,11,2,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sun,7
2014-11-03,2014,11,3,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Mon,1
2014-11-04,2014,11,4,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Tue,2
2014-11-05,2014,11,5,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Wed,3
2014-11-07,2014,11,7,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Fri,5
2014-11-08,2014,11,8,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sat,6
2014-11-09,2014,11,9,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Sun,7
2014-11-10,2014,11,10,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Mon,1
2014-11-11,2014,11,11,10/1/2014 0:00,11/1/2014 0:00,11/30/2014 0:00,Tue,2
